1,Kevin Durant,Brooklyn Nets,SF,93.40 
2,Trey Murphy III,New Orleans Pelicans,SF,92.10 
3,Stephen Curry,Golden State Warriors,PG,91.90 
4,Tyler Herro,Miami Heat,SG,91.80 
5,Malik Monk,Sacramento Kings,SG,91.10 
6,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,91.10 
7,Grayson Allen,Milwaukee Bucks,SG,90.90 
8,Kyrie Irving,Brooklyn Nets,PG,90.70 
9,Dennis Schroder,Los Angeles Lakers,PG,90.00 
10,Mikal Bridges,Phoenix Suns,SF,89.60 
10,Austin Reaves,Los Angeles Lakers,PG,89.60 
12,Anfernee Simons,Portland Trail Blazers,SG,89.60 
13,Bojan Bogdanovic,Detroit Pistons,SF,89.40 
14,Trae Young,Atlanta Hawks,PG,89.10 
15,Desmond Bane,Memphis Grizzlies,SG,88.80 
16,Paul George,Los Angeles Clippers,SF,88.70 
17,DeMar DeRozan,Chicago Bulls,SG,88.70 
18,Tre Jones,San Antonio Spurs,PG,88.70 
19,Jrue Holiday,Milwaukee Bucks,PG,88.60 
20,Tyrese Haliburton,Indiana Pacers,PG,88.50 
21,Karl-Anthony Towns,Minnesota Timberwolves,C,88.50 
22,Malcolm Brogdon,Boston Celtics,SG,88.10 
23,Damian Lillard,Portland Trail Blazers,PG,87.80 
24,Fred VanVleet,Toronto Raptors,PG,87.80 
25,Jalen McDaniels,Charlotte Hornets,PF,87.70 
26,Lauri Markkanen,Utah Jazz,PF,87.60
27,Lonnie Walker IV,Los Angeles Lakers,SG,87.50
28,Donovan Mitchell,Cleveland Cavaliers,SG,87.40
29,Brandon Ingram,New Orleans Pelicans,SF,86.80
30,James Harden,Philadelphia 76ers,SG,86.60
31,Jordan Poole,Golden State Warriors,SG,86.50
32,Derrick White,Boston Celtics,PG,86.40 
33,Franz Wagner,Orlando Magic,SF,86.30 
34,Kyle Lowry,Miami Heat,PG,86.20 
35,Bradley Beal,Washington Wizards,SG,86.10 
36,Jayson Tatum,Boston Celtics,SF,86.00 
37,Darius Garland,Cleveland Cavaliers,PG,85.90 
38,D'Angelo Russell,Minnesota Timberwolves,PG,85.60 
39,Joel Embiid,Philadelphia 76ers,C,85.30 
40,Devin Booker,Phoenix Suns,SG,85.00 
41,Jalen Brunson,New York Knicks,PG,84.50 
42,Collin Sexton,Utah Jazz,PG,84.40 
43,Jonas Valanciunas,New Orleans Pelicans,C,84.40 
44,Zach LaVine,Chicago Bulls,PG,84.30 
45,Immanuel Quickley,New York Knicks,SG,84.20 
45,Terry Rozier,Charlotte Hornets,PG,84.20 
47,Dejounte Murray,Atlanta Hawks,PG,84.00 
48,Saddiq Bey,Detroit Pistons,SF,84.00 
49,O.G. Anunoby,Toronto Raptors,SF,83.60 
50,Eric Gordon,Houston Rockets,SG,83.30 
51,Kelly Olynyk,Utah Jazz,PF,83.10 
52,Nikola Vucevic,Chicago Bulls,C,83.00 
53,Spencer Dinwiddie,Dallas Mavericks,PG,82.60 
54,Anthony Davis,Los Angeles Lakers,PF,82.60 
55,Jimmy Butler,Miami Heat,PF,82.50 
56,Bennedict Mathurin,Indiana Pacers,SG,81.90 
57,Nikola Jokic,Denver Nuggets,C,81.80 
58,Jordan Clarkson,Utah Jazz,PG,81.60 
59,Harrison Barnes,Sacramento Kings,SF,81.40 
60,De'Andre Hunter,Atlanta Hawks,PF,81.30 
61,Kristaps Porzingis,Washington Wizards,PF,81.00 
62,CJ McCollum,New Orleans Pelicans,SG,81.00 
63,Gary Trent Jr.,Toronto Raptors,SG,81.00 
64,Jabari Smith Jr.,Houston Rockets,PF,80.70 
65,John Collins,Atlanta Hawks,PF,80.70 
66,Bam Adebayo,Miami Heat,C,80.60 
67,Chris Paul,Phoenix Suns,PG,80.20 
68,De'Aaron Fox,Sacramento Kings,PG,80.10 
69,Alec Burks,Detroit Pistons,SG,80.00 
69,Jamal Murray,Denver Nuggets,SG,80.00 
71,P.J. Washington,Charlotte Hornets,PF,79.80 
72,Jerami Grant,Portland Trail Blazers,SF,79.70 
73,Jalen Green,Houston Rockets,SG,79.30 
74,Devin Vassell,San Antonio Spurs,SG,79.30 
75,Jaylen Brown,Boston Celtics,SG,79.00 
76,Dillon Brooks,Memphis Grizzlies,SG,78.80 
77,Brook Lopez,Milwaukee Bucks,C,78.80 
78,Tim Hardaway Jr.,Dallas Mavericks,SG,78.70 
79,Naji Marshall,New Orleans Pelicans,PF,78.60 
80,Alperen Sengun,Houston Rockets,C,78.60 
81,Jalen Smith,Indiana Pacers,PF,78.50 
82,Myles Turner,Indiana Pacers,C,78.40 
83,Pascal Siakam,Toronto Raptors,PF,78.30 
84,Wendell Carter Jr.,Orlando Magic,C,78.00 
85,Herbert Jones,New Orleans Pelicans,PF,77.50 
86,Norman Powell,Los Angeles Clippers,SG,77.50 
87,Kevin Porter Jr.,Houston Rockets,SG,76.60 
88,Luguentz Dort,Oklahoma City Thunder,SG,76.30 
89,RJ Barrett,New York Knicks,SF,76.20 
90,Scottie Barnes,Toronto Raptors,SF,76.00 
90,Chris Boucher,Toronto Raptors,PF,76.00 
92,Tyrese Maxey,Philadelphia 76ers,PG,75.90 
93,Paolo Banchero,Orlando Magic,PF,75.70 
94,Brandon Clarke,Memphis Grizzlies,PF,75.60 
95,Keldon Johnson,San Antonio Spurs,SF,75.60 
96,LeBron James,Los Angeles Lakers,SF,75.60 
97,Jaren Jackson Jr.,Memphis Grizzlies,PF,75.50 
98,Julius Randle,New York Knicks,PF,75.30 
99,Josh Hart,Portland Trail Blazers,SG,75.30 
100,Anthony Edwards,Minnesota Timberwolves,SG,75.00 